run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-189-20260803-18:21:49-61703,config,,,*.terminal[4].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[4].mob.centerLatitude,43.610,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[4].mob.centerLongitude,3.876,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[5].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[5].mob.centerLatitude,49.443,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[5].mob.centerLongitude,1.099,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[6].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[6].mob.centerLatitude,37.992,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[6].mob.centerLongitude,-1.130,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[7].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[7].mob.centerLatitude,40.965,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[7].mob.centerLongitude,-5.664,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[8].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[8].mob.centerLatitude,40.657,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[8].mob.centerLongitude,-7.914,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[9].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[9].mob.centerLatitude,51.340,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[9].mob.centerLongitude,12.373,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[10].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[10].mob.centerLatitude,51.455,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[10].mob.centerLongitude,7.011,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[11].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[11].mob.centerLatitude,49.452,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[11].mob.centerLongitude,11.076,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[12].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[12].mob.centerLatitude,43.769,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[12].mob.centerLongitude,11.255,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[13].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[13].mob.centerLatitude,41.117,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[13].mob.centerLongitude,16.871,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[14].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[14].mob.centerLatitude,52.132,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[14].mob.centerLongitude,5.291,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[15].mob.radius,0.0,,
General-189-20260803-18:21:49-61703,config,,,*.terminal[15].mob.centerLatitude,50.411,,
