run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-280-20260805-18:36:48-87901,config,,,*.terminal[6].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[6].mob.centerLatitude,37.992,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[6].mob.centerLongitude,-1.130,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[7].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[7].mob.centerLatitude,40.965,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[7].mob.centerLongitude,-5.664,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[8].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[8].mob.centerLatitude,40.657,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[8].mob.centerLongitude,-7.914,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[9].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[9].mob.centerLatitude,51.340,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[9].mob.centerLongitude,12.373,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[10].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[10].mob.centerLatitude,51.455,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[10].mob.centerLongitude,7.011,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[11].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[11].mob.centerLatitude,49.452,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[11].mob.centerLongitude,11.076,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[12].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[12].mob.centerLatitude,43.769,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[12].mob.centerLongitude,11.255,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[13].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[13].mob.centerLatitude,41.117,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[13].mob.centerLongitude,16.871,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[14].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[14].mob.centerLatitude,52.132,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[14].mob.centerLongitude,5.291,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[15].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[15].mob.centerLatitude,50.411,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[15].mob.centerLongitude,4.444,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[16].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[16].mob.centerLatitude,47.559,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[16].mob.centerLongitude,7.588,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[17].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[17].mob.centerLatitude,55.403,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[17].mob.centerLongitude,10.402,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[18].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[18].mob.centerLatitude,59.858,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[18].mob.centerLongitude,17.638,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[19].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[19].mob.centerLatitude,60.451,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[19].mob.centerLongitude,22.266,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[20].mob.radius,0.0,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[20].mob.centerLatitude,56.325,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[20].mob.centerLongitude,22.349,,
General-280-20260805-18:36:48-87901,config,,,*.terminal[21].mob.radius,0.0,,
