seed,model,accuracy_test,precision_test,recall_test,f1_score_test,auc_roc_test,accuracy_val,precision_val,recall_val,f1_score_val,auc_roc_val
9,Logistic Regression,0.805340223944875,0.820675105485232,0.733962264150943,0.774900398406375,0.910357922435188,0.850129198966408,0.854700854700855,0.790513833992095,0.82135523613963,0.936086051353227
9,Random Forest,0.887166236003445,0.83756345177665,0.933962264150943,0.88314005352364,0.946830427892235,0.89922480620155,0.847942754919499,0.936758893280632,0.890140845070423,0.969269529010651
9,MLP,0.880275624461671,0.847246891651865,0.9,0.872827081427264,0.950811829082319,0.901808785529716,0.874045801526718,0.905138339920949,0.889320388349515,0.969317804664635
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,accuracy_test,precision_test,recall_test,f1_score_test,auc_roc_test,accuracy_val,precision_val,recall_val,f1_score_val,auc_roc_val
,Logistic Regression,0.831375123326899,0.845156713784248,0.789491126336754,0.815956293210055,0.917665491090089,0.872882126206795,0.866751646656238,0.800230053729065,0.831483312443766,0.948746698793853
,Random Forest,0.895589953244217,0.870708482692165,0.917526629097508,0.893313734933822,0.961094762732081,0.92497069108665,0.88026090762535,0.93920991760525,0.908667052351465,0.977645306590359
,MLP,0.890740291781705,0.881620777137705,0.890455316725571,0.885590367145121,0.960542700259669,0.923909471522502,0.893126929060026,0.916299341775534,0.904145048039118,0.976820896997515
