seed,model,threshold,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
3,Logistic Regression,0.5,0.6326342073661952,0.8972048972048972,0.7617179839184154,0.8239287229529062,0.5161290322580645,0.7443997702469844,0.6095954844778928,0.7208378153138834,0.9041578576462297,0.7923013585837794,0.8445419637959407,0.6093689508323654,0.7941473259334006,0.6895947426067908
3,Random Forest,0.5,0.6934314531564961,0.8394755492558469,0.9292018042753482,0.8820627385274132,0.6981605351170569,0.47960941987363587,0.5686074225400068,0.7592400061300392,0.8267730818066389,0.9382461918484973,0.8789894899238261,0.7739261492087415,0.5181634712411706,0.6207313387730432
3,MLP,0.5,0.6415269151046143,0.8488922552546866,0.8791919984310649,0.863776493256262,0.6048749198203976,0.5416427340608846,0.5715151515151515,0.7157700513210141,0.8303400840657241,0.8946068340881022,0.8612762584225129,0.6811955168119551,0.5519677093844602,0.6098104793756968
3,Gradient Boosting,0.5,0.6795825242694788,0.9307268433482025,0.695626593449696,0.7961840628507295,0.48761967646087817,0.8483630097645032,0.619287211740042,0.7534565724298019,0.9293450232078391,0.7418690819267189,0.825091575091575,0.5766374071573261,0.8617558022199798,0.6909385113268608
4,Logistic Regression,0.5,0.6420246965832664,0.9285552792222473,0.7718473971058072,0.8429802955665024,0.4977244517997518,0.7919684002633312,0.6112804878048781,0.6915121627999373,0.9146757679180887,0.7824056052938887,0.8433861323822511,0.5427402862985685,0.7796709753231492,0.6399807089462262
4,Random Forest,0.5,0.7125234869358738,0.8727304469273743,0.9394850591993986,0.904878269526654,0.710431654676259,0.5200789993416721,0.6005321170657545,0.7645275225312567,0.8859421364985163,0.9297391981315687,0.907312440645774,0.7506906077348067,0.6386603995299648,0.6901587301587302
4,MLP,0.5,0.693349761662385,0.8849477853799064,0.9236985529035896,0.9039080459770115,0.6842923794712286,0.5793285055957867,0.6274509803921569,0.7501395467746936,0.8957409905569473,0.9046321525885559,0.9001646170233368,0.7032101756511205,0.68213866039953,0.692514166418133
4,Gradient Boosting,0.5,0.7054976599089917,0.9507643884892086,0.7947754181544823,0.8657999795270754,0.5434782608695652,0.8558262014483212,0.6647916133981079,0.757784976879967,0.9466726417208156,0.8223043985986765,0.8801166545151546,0.6159023979806478,0.8601645123384254,0.7178229958323118
5,Logistic Regression,0.5,0.6752408767166749,0.9180141197904805,0.7819592628516003,0.8445422166352399,0.5410371580236831,0.7863501483679525,0.6410256410256411,0.7460114628269664,0.9238857142857143,0.8015070394606385,0.8583563389254619,0.5939148073022312,0.8146911519198664,0.68700140778977
5,Random Forest,0.5,0.7238819442357342,0.8567596566523605,0.9293889427740059,0.8915976551595794,0.7083333333333334,0.5246290801186944,0.6027957722468462,0.7910514640493268,0.8663402248821183,0.9472536188776521,0.9049919484702094,0.799396681749623,0.5898720089037285,0.6788344540505924
5,MLP,0.5,0.7077783330774817,0.8751175474891856,0.9026188166828322,0.8886554621848739,0.670387393302692,0.6059347181008902,0.6365336658354115,0.7774764877528401,0.877892756349953,0.925242910965695,0.9009461285962541,0.7527868852459016,0.6388425153032833,0.6911499096929561
5,Gradient Boosting,0.5,0.7235307079223696,0.9509172037679723,0.7441319107662464,0.834911306997497,0.529935851746258,0.8824925816023739,0.6622133155199288,0.7893644896918278,0.9493670886075949,0.7733491969066032,0.852365861654464,0.5816251830161054,0.8842515303283249,0.7017001545595054
6,Logistic Regression,0.5,0.6231310417984117,0.9228971962616822,0.7599076567910735,0.8335091791517197,0.5125,0.7990255785627284,0.6244645406949072,0.7009987960028887,0.9259345251915486,0.7950558213716108,0.8555186098895206,0.5941571259376234,0.825109649122807,0.6908423226991048
6,Random Forest,0.5,0.6752848622204902,0.8622851002865329,0.9263178145440554,0.8931552587646077,0.6950636942675159,0.5316686967113277,0.6024844720496895,0.7502758393668438,0.86137331112345,0.9278309409888357,0.893367885593627,0.7480862908837856,0.5893640350877193,0.6593069610548912
6,MLP,0.5,0.6428473511034779,0.8778640776699029,0.8697575990765679,0.87379203710862,0.5994082840236686,0.6169305724725944,0.6080432172869148,0.7162784574442869,0.8700631911532386,0.8783891547049442,0.8742063492063492,0.6565315315315315,0.6392543859649122,0.6477777777777778
6,Gradient Boosting,0.5,0.6710419448176745,0.9495509772847333,0.6916121585225087,0.8003116651825467,0.47511460379829734,0.8836784409257004,0.6179727427597955,0.7382092971049501,0.9476059162697418,0.7535885167464115,0.8395335924486397,0.5664679059978954,0.8854166666666666,0.6909090909090909
7,Logistic Regression,0.5,0.64927228686376,0.9326151730460692,0.7665787490580256,0.84148485161824,0.49979814291481633,0.8080939947780679,0.6176103766525318,0.7196869188235694,0.9218211083007588,0.785000979048365,0.8479272419627749,0.5592131674026496,0.8038084246970572,0.6595643939393939
7,Random Forest,0.5,0.7180179683727802,0.877134307340257,0.9387716654107008,0.9069069069069069,0.719585849870578,0.5443864229765013,0.6198439241917503,0.7585562477082733,0.8637339055793991,0.9457607205795966,0.9028881203850827,0.7780448717948718,0.5603000577034045,0.6514592418651459
7,MLP,0.5,0.6466011155587668,0.8877993588534792,0.8869630746043707,0.8873810196965414,0.6096291476903057,0.6116187989556136,0.6106223525578365,0.7150137000863086,0.8706254653760238,0.9158018406109262,0.892642427712568,0.7070844686648501,0.5989613387189844,0.6485473289597001
7,Gradient Boosting,0.5,0.6887141250266403,0.9577151335311572,0.7296533534287868,0.8282720273738238,0.4867668097281831,0.8883812010443864,0.6289279112754159,0.7561938278257347,0.9400331832187723,0.7765811631094576,0.850525412824362,0.5646699732926364,0.8540103866128101,0.6798346348185577
8,Logistic Regression,0.5,0.6693301963848389,0.9085072231139647,0.7790011797090051,0.8387847994072192,0.5465913674868899,0.7725199543899658,0.6402078903850696,0.733924486890638,0.9098455153331796,0.8041573262685959,0.8537429684119429,0.6160607271274471,0.7977237454733574,0.6952209197475203
8,Random Forest,0.5,0.6962387034256231,0.843963963963964,0.9209594966574911,0.8807822489657766,0.6883720930232559,0.5062713797035348,0.5834428383705651,0.7483570120941291,0.8421936205931729,0.920114122681883,0.8794312426957538,0.7349560513860717,0.5623383341955509,0.6371629542790153
8,MLP,0.5,0.6905293837605477,0.8547548291233283,0.9048368069209595,0.879083094555874,0.6675824175824175,0.5541619156214367,0.6056074766355141,0.7426952711496301,0.8518945951144451,0.9025881393927043,0.8765090045517514,0.708714198659354,0.6016554578375582,0.650811415780638
8,Gradient Boosting,0.5,0.7026511200223523,0.9390942217595003,0.7093983484073928,0.8082437275985663,0.5070046697798533,0.8665906499429875,0.6397306397306397,0.7598504678019632,0.9308191808191808,0.7595272060321989,0.8364942206261924,0.5839210155148096,0.8566994309363684,0.6944852170266304
9,Logistic Regression,0.5,0.6539399912428658,0.9247777524504217,0.7751241880015285,0.8433634757301736,0.5201793721973094,0.7945205479452054,0.6287262872628726,0.715093479863075,0.921718931475029,0.7873015873015873,0.8492241840556447,0.5771203155818541,0.8127777777777778,0.6749711649365628
9,Random Forest,0.5,0.710667667277218,0.8679611650485437,0.9394344669468857,0.9022846132672723,0.7302127659574468,0.5342465753424658,0.6170442286947141,0.7537911353801935,0.8575613328451117,0.9293650793650794,0.8920205675109503,0.7416545718432511,0.5677777777777778,0.6431718061674009
9,MLP,0.5,0.6712424346866087,0.884124261482752,0.8863202139854796,0.885220875870623,0.6264908976773383,0.6214196762141968,0.6239449828071272,0.7201550791313143,0.8711739635800078,0.8922619047619048,0.8815918447363262,0.6764004767580453,0.6305555555555555,0.652673950546291
9,Gradient Boosting,0.5,0.6998335772630075,0.944779358572462,0.7485670615208254,0.8353054045410937,0.5113256591162273,0.8574097135740971,0.6406140963014655,0.7432251824862938,0.941930800871038,0.772420634920635,0.8487953777390167,0.5762837089028445,0.8666666666666667,0.6922564899045929
