seed,model,threshold,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
5,Random Forest,0.34,0.726446534857212,0.92652705061082,0.853811514956578,0.888684298627385,0.616455696202532,0.776301806588735,0.687206020696143,0.781772768017036,0.937205081669692,0.852426543413668,0.892807745504841,0.654826254826255,0.830558276199804,0.732297063903282
5,MLP,0.317242719197622,0.745093943490341,0.933261571582347,0.836603409456417,0.882293080054274,0.59778305621536,0.802337938363443,0.685117967332123,0.806431699776402,0.927910630127422,0.877517332452955,0.902010689742937,0.687051876845213,0.797747306562194,0.738273283480625
5,Gradient Boosting,0.65014810484841,0.729621194483128,0.923427369896618,0.847539401736893,0.883857442348008,0.603844546594233,0.767800212539851,0.676023391812866,0.786612668909032,0.916738791760429,0.874215912842522,0.894972539079003,0.671975893241498,0.764446620959843,0.715234822451317
6,Logistic Regression,0.490129827395515,0.626234636301041,0.928638321783106,0.788862370723946,0.853062629043359,0.519377037305324,0.790082644628099,0.626748251748252,0.698789682614112,0.93322951138797,0.795816733067729,0.859062807992115,0.584880188997638,0.834778420038536,0.687834887874578
6,Random Forest,0.36,0.670615548560279,0.916309380895215,0.850119331742243,0.881974248927039,0.584839136183341,0.731129476584022,0.649853085210578,0.747010817148718,0.92670738478623,0.831175298804781,0.876345497505907,0.622914349276974,0.809248554913295,0.703959773727216
6,MLP,0.225584159819065,0.643903992567146,0.944596711041504,0.767700875099443,0.847011322742035,0.512032085561497,0.844077134986226,0.637403786145205,0.721539829688015,0.950540648778534,0.788014608233732,0.861680885823198,0.588860270444301,0.88102119460501,0.705905055962949
6,Gradient Boosting,0.614138673424812,0.650772965665171,0.939157566302652,0.766268894192522,0.843949881713835,0.505720053835801,0.828099173553719,0.627950699811991,0.727408693903319,0.928398284542234,0.826527224435591,0.874506015631861,0.618195104128608,0.815028901734104,0.703095782256389
7,Logistic Regression,0.573437143217487,0.637431027194385,0.921885636487406,0.842588271892985,0.880455099553027,0.544964028776979,0.725314183123878,0.622336328626444,0.707274103420716,0.913209512237459,0.854891127721807,0.883088543852287,0.618212911500641,0.74306269270298,0.674912485414236
7,Random Forest,0.36,0.706979513016727,0.929043996030433,0.873697309068284,0.900521042084168,0.604673807205453,0.74326750448833,0.666845637583893,0.755696089705642,0.921197522367516,0.870003249918752,0.894868794918937,0.65034965034965,0.76464542651593,0.702881435994332
7,MLP,0.33263156868607,0.697860591816003,0.931461049816115,0.866697775703842,0.897913141567964,0.595372993389991,0.754637941352484,0.665610979150172,0.761370734098862,0.919986608637429,0.893077673058174,0.906332453825858,0.690498588899342,0.754367934224049,0.721021611001965
7,Gradient Boosting,0.643433446249178,0.689295681641371,0.938807531380753,0.837610825944937,0.885326757090012,0.558375634517767,0.789946140035907,0.654275092936803,0.750148851040791,0.91985706993364,0.878453038674033,0.898678414096916,0.663517768780927,0.757965056526208,0.707603741904534
8,Logistic Regression,0.530671459053582,0.668088466001791,0.907651245551601,0.824204233317176,0.863917351172834,0.561290322580645,0.728414442700157,0.634024140286951,0.726748453726692,0.911656891495601,0.838503034389751,0.873551106427819,0.63767019667171,0.777675276752768,0.700748129675811
8,Random Forest,0.29,0.699699417476575,0.936040994496109,0.796897721764421,0.860883225693838,0.555987283645355,0.823652537938252,0.663854913538591,0.75005635271029,0.939144091087554,0.806473364801079,0.867767095955015,0.618097139055223,0.857011070110701,0.718206416698879
8,MLP,0.245051707678383,0.717738418239022,0.929690346083789,0.824688964291485,0.874047435568114,0.584291187739464,0.798011512297227,0.674629506746295,0.772174844985076,0.938791124713083,0.827376938637896,0.879569892473118,0.643454038997215,0.85239852398524,0.733333333333333
8,Gradient Boosting,0.593799325417104,0.699552734136257,0.933256172839506,0.781709484569397,0.850786951551921,0.536694101508916,0.818942961800105,0.648435881499896,0.746149071439844,0.920181577454133,0.820128118678355,0.867278723593903,0.620689655172414,0.805350553505535,0.701064043364786
9,Logistic Regression,0.62539617421668,0.648787020004801,0.907946370176586,0.874625925342574,0.890974729241877,0.598790322580645,0.67846944603084,0.636144578313253,0.69957724084997,0.902542372881356,0.87237876802097,0.887204265244918,0.645909090909091,0.711923847695391,0.677311725452812
9,Random Forest,0.33,0.704067980984354,0.930224642614023,0.86092297999685,0.894233128834356,0.602967625899281,0.765848086807539,0.674716981132076,0.743540904941815,0.927734726977834,0.843381389252949,0.883549300609285,0.625245001960016,0.799098196392786,0.701561469100506
9,MLP,0.24938753925196,0.720258994393696,0.947954711468225,0.81760907229485,0.877970401691332,0.558689024390244,0.837235865219874,0.670171428571429,0.743812817815004,0.938532961931291,0.827981651376147,0.879798067716947,0.613259668508287,0.834168336673347,0.706856293780514
9,Gradient Boosting,0.645518554223107,0.696239810704855,0.924515354263167,0.84879508584029,0.885038594186237,0.577278731836196,0.748715019988578,0.65191447041273,0.738272334279147,0.919004207573633,0.858781127129751,0.887872628726287,0.640233722871452,0.768537074148297,0.698542805100182
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,,,,,,,
,,Logistic Regression,0.644822523837344,0.911649498441322,0.832958434747191,0.869771321916527,0.559709313916816,0.715585364864986,0.625122617521595,,,,,,,
,,Random Forest,0.699155697266343,0.925123855375718,0.846621790693581,0.883902435291882,0.591100188889579,0.761077458705461,0.664806999130111,,,,,,,
,,MLP,0.708914399993919,0.937967249635961,0.817800421398154,0.873405542895897,0.565504086261309,0.811905028558708,0.665715229708772,,,,,,,
,,Gradient Boosting,0.689369069832086,0.933929954654501,0.803943893396003,0.86323628565595,0.546428621570191,0.800324092615427,0.647830683622746,,,,,,,
