seq_length,d_model,n_heads,n_layers,dropout,lr,batch_size,fusion_hidden,mean_val_loss,std_val_loss,val_loss_seed_0,val_loss_seed_1,val_loss_seed_2,val_loss_seed_3,val_loss_seed_4,val_loss_seed_5,val_loss_seed_6,val_loss_seed_7,val_loss_seed_8,val_loss_seed_9
8,32,2,1,0.3,0.001,32,16,0.6055121049825212,0.018546704014284234,0.6104639117045012,0.580019480499782,0.5982844742766598,0.6450840957854923,0.5748581809694306,0.6048235139651605,0.6073897086519595,0.6037328337455353,0.6176229522329325,0.612841897993757
8,32,2,1,0.3,0.001,32,32,0.5981738177852498,0.02316726117448016,0.6270597059388607,0.591301409063632,0.5794896821442403,0.6411094363931327,0.5610952784792025,0.5705880961048673,0.6069771031364363,0.5967061416970358,0.6008432803272504,0.6065680445678402
8,32,2,2,0.1,0.0005,32,16,0.591842560459974,0.01945624400166882,0.5966619443300872,0.5795298425556972,0.5903704071079778,0.6282660575093407,0.5600218300767548,0.5644404890244468,0.5897852923350725,0.5999732570428598,0.5970074094701232,0.6123690751473806
8,32,2,2,0.1,0.0005,32,32,0.588744181657771,0.025307567095095882,0.614594332045979,0.5698921227920256,0.5705208644096614,0.6268227527092336,0.546253874359587,0.561338852180375,0.5846859997083917,0.5929980065978584,0.6168784093961381,0.6034566023784597
8,32,2,2,0.1,0.001,32,16,0.5971496078366555,0.03173567572952343,0.6047090220521067,0.5846477759097926,0.5801741172347152,0.6644156095871364,0.5306985294805807,0.589985790378169,0.5888279617224869,0.6121777152631716,0.602898661840206,0.6129608948981902
8,32,2,2,0.1,0.001,32,32,0.5938645064428024,0.03379452830358599,0.6257735907944323,0.5780556030179325,0.5813049301679372,0.6471972083988768,0.5351860258970628,0.5524626264098095,0.591070232745151,0.6328534146454948,0.6122142433118053,0.5825271890395217
8,32,2,2,0.2,0.0005,32,16,0.6035372517463801,0.02770633481822487,0.6138014973255626,0.5827928203065493,0.5838575841739164,0.6673567138394417,0.5694033487683587,0.572570897455801,0.6012373466676438,0.6065329508343984,0.624808213219308,0.6130111448728202
8,32,2,2,0.2,0.0005,32,32,0.5934321312335651,0.018864974682919644,0.6072040804994037,0.59004252401796,0.5829967372598703,0.6287490496564417,0.556547975590812,0.5749442253545014,0.5995262398444421,0.5866531070692149,0.6037265920151047,0.6039307810279012
8,32,2,2,0.2,0.001,32,16,0.6032226192602637,0.02425785599269556,0.6140133659393466,0.5912180135996021,0.5884671952292236,0.6443221579605376,0.5526463646507054,0.5804829973574968,0.6096679052762818,0.6135231101068488,0.6191279201131118,0.6187571623694827
8,32,2,2,0.2,0.001,32,32,0.5938243099869561,0.027358996944201335,0.6039826590763895,0.6049712295420686,0.5785987014136119,0.6345946149878771,0.5300492104033978,0.5716282485695611,0.6164200413427506,0.5877392255815498,0.6046186636283732,0.6056405053239817
8,32,2,2,0.3,0.0005,32,16,0.6085062990799459,0.021204341441665553,0.6264331449542129,0.5978025415313174,0.5928137607741775,0.6544751887345872,0.577593534030238,0.5838107645947334,0.6096118816419651,0.6125726412872822,0.6190976353765231,0.6108518978744223
8,32,2,2,0.3,0.0005,32,32,0.6051804384205773,0.021793445306873372,0.6183171452311744,0.6144435819608774,0.5946714741531869,0.6501136369262522,0.5614231896025744,0.5849520034957351,0.6092179052488148,0.6089069238270235,0.6068128312888899,0.6029456924712449
8,32,2,2,0.3,0.001,32,16,0.6162590490460221,0.026175460610385434,0.6308066268674811,0.5912905242185147,0.6142200295165269,0.6597161229808777,0.5660721800393529,0.593321483699899,0.612028401907076,0.6349484822032048,0.6429189220942252,0.6172677169330636
8,32,2,2,0.3,0.001,32,32,0.6082812787893049,0.024692743820739854,0.6090725460247687,0.605405857065442,0.5990199600395404,0.6481804908759762,0.5590283940715051,0.5779040070130811,0.613801592475141,0.6358365358054986,0.6098555296746611,0.6247078748474344
8,32,4,1,0.1,0.0005,32,16,0.5884702015393659,0.023208141832480135,0.5912229996588495,0.5840533442228858,0.5820785773079298,0.6373344387597683,0.5410285748650282,0.5668463048530601,0.5948936478436342,0.5942973499583919,0.598583628202391,0.5943631497217201
8,32,4,1,0.1,0.0005,32,32,0.5813355031353012,0.03011039383454234,0.5885302736570961,0.5793389109426249,0.5602188879373478,0.6436042646349174,0.5312101555960961,0.5493291164525071,0.5754831002077513,0.5767078333082255,0.6079740493531116,0.6009584392633355
8,32,4,1,0.1,0.001,32,16,0.5954792096084038,0.0265322611791672,0.5978015688863414,0.5685931714763592,0.5878444252829803,0.6396423815689676,0.5432157125373028,0.5744750537370381,0.5999838923632401,0.6188994494707961,0.6136151294000665,0.6107213113609462
8,32,4,1,0.1,0.001,32,32,0.5865095209273135,0.033238328545679555,0.6271432009705326,0.555414974423158,0.5584503394644162,0.6365205992165713,0.5360219963145447,0.5482415941026476,0.5866226311043253,0.6017466319256533,0.6104217575873896,0.604511484163895
8,32,4,1,0.2,0.0005,32,16,0.5983262749634988,0.02557329715429835,0.6059251321948063,0.5885038467527133,0.5890000125208096,0.6533697326106634,0.5490841304349621,0.5767798329828775,0.6041199402240982,0.599757923699959,0.5999082410370398,0.616813957177059
8,32,4,1,0.2,0.0005,32,32,0.5876415151076619,0.022887053071597212,0.5859322396896736,0.5846583306310121,0.57087658378813,0.6350333094705789,0.5453107210910982,0.5660958597360298,0.5939577058916203,0.5927193870691703,0.5973716583168297,0.604459355392477
8,32,4,1,0.2,0.001,32,16,0.6035525054608782,0.0310666287453482,0.6407684894333109,0.5893546810580624,0.6376855023161709,0.6386177597600117,0.538369290249651,0.576669442043667,0.6044095630316357,0.5816682343877722,0.6146911267801161,0.6132909655483842
8,32,4,1,0.2,0.001,32,32,0.5924533416233869,0.022605637641767318,0.6019445126952484,0.5764150969139491,0.5831963805165904,0.630307483959028,0.5483733990763406,0.5692748851769152,0.59253236820039,0.6005672374663994,0.6084094589739515,0.613512593255057
8,32,4,1,0.3,0.0005,32,16,0.6027022866787094,0.02268772769531515,0.6128190830262781,0.5995307555062729,0.591256257421092,0.6515050189014067,0.5589823451437796,0.5822939222319085,0.6023281367027271,0.61543419341072,0.6049982575209517,0.6078748969219582
8,32,4,1,0.3,0.0005,32,32,0.5943340163203011,0.025993127814110825,0.6032758271833609,0.582400601788571,0.5766574672091077,0.6578248129471352,0.548337953498489,0.5910565837084899,0.5936755950165074,0.5911156605733069,0.5996033728645559,0.599392288413487
8,32,4,1,0.3,0.001,32,16,0.6046927666592232,0.028908059041791438,0.6168675515386793,0.5871558938327938,0.5822809314780067,0.6751231111368241,0.5662490747193669,0.5795659349152916,0.5973852952844219,0.6116443896197785,0.6145987100507083,0.6160567740163608
8,32,4,1,0.3,0.001,32,32,0.5945279086239592,0.023467924470292882,0.6212460864008519,0.5832803112285876,0.584861848960843,0.6311780486386596,0.5517723596714742,0.5647722593525,0.6067614460113453,0.5893556681336367,0.6121965159798226,0.5998545418618715
8,32,4,2,0.1,0.0005,32,16,0.5980564685194204,0.01842484715495698,0.6093875242429867,0.613901307124492,0.5922541935280052,0.6303345681369653,0.5625854210045776,0.5733195425997003,0.5937896455676235,0.6017034848008239,0.604133568616987,0.5991554295720413
8,32,4,2,0.1,0.0005,32,32,0.5900197485187336,0.02305692456384615,0.5994661784485766,0.5764237669367365,0.5854288290641462,0.6355910572108993,0.5627162081325612,0.5479010919381303,0.6020428825322299,0.591599932896812,0.5925308935954208,0.6064966444318232
8,32,4,2,0.1,0.001,32,16,0.595481852246176,0.030760574608782152,0.6433491669290247,0.5826130347772998,0.5814225452336651,0.6302576147096112,0.5455448957639393,0.5522571875686534,0.5876773521565555,0.6038506196256269,0.628501323466761,0.5993447822306239
8,32,4,2,0.1,0.001,32,32,0.5872800711596287,0.02957559841270177,0.6109288369354449,0.5489661351494404,0.5831271156145815,0.6376895903375501,0.5335210490557882,0.5647078727943855,0.5965478811260553,0.5865821930530825,0.6020843828456444,0.6086456546843139
8,32,4,2,0.2,0.0005,32,16,0.6052343356742235,0.027024710918324122,0.6242747388910829,0.5759357716997116,0.5912075437126104,0.6608446194240224,0.5566256228703679,0.5923134265151637,0.6090116592396421,0.6127617619800986,0.6120507485685293,0.617317463841006
8,32,4,2,0.2,0.0005,32,32,0.5934350856607071,0.02487585044874398,0.5919655122952154,0.5766389487757844,0.582827723793119,0.6429680228233338,0.5476986966896475,0.5719480967661094,0.6099417265003536,0.5916461510877861,0.6102315910988384,0.6084843867768844
8,32,4,2,0.2,0.001,32,16,0.6089245609956527,0.02931396314581857,0.615578287595894,0.5834468178276778,0.605039857728788,0.6456576986271039,0.5511549601298675,0.5767143962501783,0.6215533585968422,0.6385775492989529,0.6424154770478868,0.6091072068533354
8,32,4,2,0.2,0.001,32,32,0.5985435957611914,0.027773750698456896,0.6052264332858442,0.5942745350431977,0.5885451218189551,0.6415234831995086,0.5375292431149218,0.5730605001425185,0.609882877967511,0.6054481150724037,0.632515011666811,0.5974306363002424
8,32,4,2,0.3,0.0005,32,16,0.6187580939528277,0.03680226411666942,0.619941989092799,0.5863600082782625,0.5965279641730047,0.6787374730957182,0.5570066285085434,0.5912716622589624,0.6144955886691286,0.6387251618051389,0.6764578480120987,0.6280566156346198
8,32,4,2,0.3,0.0005,32,32,0.602258302799878,0.02154864043919686,0.6151830081092684,0.5941263253925837,0.5950767016288829,0.644912535039305,0.558664604969192,0.5810971895679395,0.604315210273217,0.6131718313484861,0.6088604309928347,0.6071751906770712
8,32,4,2,0.3,0.001,32,16,0.6083891602383371,0.022221157962042163,0.6313246653093929,0.5823188846048556,0.6130367261450194,0.6434135720133781,0.5725647645125612,0.5778300226780406,0.614752217473691,0.6113331446086454,0.6168618893065648,0.620455715731222
8,32,4,2,0.3,0.001,32,32,0.6071805428900914,0.02154404802578299,0.6209254019703084,0.6046822896695625,0.5946842441433354,0.6435004705530509,0.5615196787910155,0.5889532922129882,0.6086865514081125,0.6100128285368981,0.6304643582356604,0.6083763133799821
