seed,model,threshold:,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
8,Random Forest,0.5,0.699699417476575,0.861769115442279,0.928744546776539,0.894004199393421,0.691608391608392,0.51753008895866,0.59203831188267,0.75005635271029,0.853188180404355,0.924814565070802,0.887558647468047,0.732934131736527,0.564575645756458,0.637832204273059
8,MLP,0.5,0.717738418239022,0.874292705306622,0.92373566004201,0.89833438089252,0.697629724535554,0.569858712715856,0.627304147465438,0.772174844985076,0.874614260191652,0.907788267026298,0.890892546943502,0.71847658260422,0.643911439114391,0.679153490634882
8,Gradient Boosting,0.5,0.699552734136257,0.952178533475027,0.723864921635159,0.822471085000918,0.496612665684831,0.882260596546311,0.635506973237844,0.746149071439844,0.939983443708609,0.765677680377613,0.843924191750279,0.574663402692779,0.866236162361624,0.690949227373068
9,Logistic Regression,0.5,0.648787020004801,0.930406267079614,0.804378642305875,0.862814664639297,0.52432018383761,0.781838949171902,0.627693718477763,0.69957724084997,0.927188226181255,0.784403669724771,0.849840255591054,0.551771117166213,0.811623246492986,0.656934306569343
9,Random Forest,0.5,0.704067980984354,0.880005889281508,0.941408095763112,0.909672018872232,0.715596330275229,0.534551684751571,0.611964694344557,0.743540904941815,0.865419708029197,0.932339449541284,0.897634069400631,0.729002624671916,0.556613226452906,0.63125
9,MLP,0.5,0.720258994393696,0.898359650467576,0.922979996849898,0.910503418272219,0.689917564996829,0.621359223300971,0.653846153846154,0.743812817815004,0.876622361219703,0.918414154652687,0.897031762541003,0.70791788856305,0.604709418837675,0.652256146987301
9,Gradient Boosting,0.5,0.696239810704855,0.954237962594509,0.755394550322886,0.843252747252747,0.494795055302537,0.868646487721302,0.630466321243523,0.738272334279147,0.947662804634439,0.777195281782438,0.854005400540054,0.56043956043956,0.8687374749499,0.681335952848723
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,threshold,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,,,,,,,
,Logistic Regression,0.5,0.644822523837344,0.922561182028867,0.798061259537955,0.855769239893944,0.522781983924,0.768403809547839,0.621881713688787,,,,,,,
,Random Forest,0.5,0.699155697266343,0.871767607755123,0.93625276741124,0.902844519850019,0.704454050533579,0.522635542818391,0.599750258367518,,,,,,,
,MLP,0.5,0.708914399993919,0.888699802558916,0.915359671991615,0.90175773901373,0.673907372504498,0.603817563308911,0.636287156088324,,,,,,,
,Gradient Boosting,0.5,0.689369069832086,0.95523825933985,0.733464274534882,0.829403563821111,0.489589895296712,0.880612115291102,0.628884949941033,,,,,,,
