seed,model,threshold,auc_pr_test,precision_test_c0,recall_test_c0,f1_score_test_c0,precision_test_c1,recall_test_c1,f1_score_test_c1,auc_pr_val,precision_val_c0,recall_val_c0,f1_score_val_c0,precision_val_c1,recall_val_c1,f1_score_val_c1
4,Logistic Regression,0.626595677176486,0.642024696583266,0.899130434782609,0.874459688028566,0.886623475609756,0.598798798798799,0.656352863726136,0.626256281407035,0.691512162799937,0.896426408237432,0.864149474503698,0.879992072143494,0.630100688924218,0.698589894242068,0.662580105879075
4,Random Forest,0.27,0.712523486935874,0.938341750841751,0.838000375869198,0.885337039610841,0.587164750957854,0.807109940750494,0.679789298586083,0.764527522531257,0.94491069507209,0.854612689762554,0.897496167603475,0.6593707250342,0.849588719153937,0.742490372272144
4,MLP,0.208087876439095,0.693349761662385,0.936008447729673,0.832926141702687,0.881463802704853,0.577672209026128,0.800526662277814,0.671081677704194,0.750139546774694,0.94380784486558,0.833592837680031,0.885283174865647,0.62858384013901,0.850176263219742,0.722777222777223
4,Gradient Boosting,0.557138796043692,0.705497659908992,0.94016727428694,0.823905280962225,0.878205128205128,0.569591180523656,0.816326530612245,0.670995670995671,0.757784976879967,0.935891938250429,0.849552355001946,0.890634564374617,0.644761029411765,0.824324324324324,0.723568849922641
5,Logistic Regression,0.572424138532592,0.675240876716675,0.897916666666667,0.836081474296799,0.865896534404822,0.58578431372549,0.70919881305638,0.641610738255034,0.746011462826966,0.906098332981642,0.851477295260757,0.877939071764465,0.643503093764874,0.752365052865888,0.693689071318625
5,Random Forest,0.37,0.723881944235734,0.915072524700441,0.844422890397672,0.878329297820823,0.614978396543447,0.760237388724036,0.679936305732484,0.791051464049327,0.919284376950281,0.876264128494944,0.897258883248731,0.693064436792917,0.784084585420145,0.735770234986945
5,MLP,0.300287008285522,0.707778333077482,0.912631805465892,0.822696411251212,0.865333605386656,0.583219334245326,0.759050445103858,0.659618359979371,0.77747648775284,0.91890756302521,0.867340868530637,0.892379883709069,0.678365384615385,0.78519755147468,0.727882383286046
5,Gradient Boosting,0.6440325277928,0.72353070792237,0.913942206285594,0.840543161978662,0.87570735650768,0.608384945212006,0.75786350148368,0.674947145877379,0.789364489691828,0.914827155351937,0.871108467182233,0.892432706957847,0.681059862610402,0.772398441847524,0.723859191655802
6,Logistic Regression,0.527468827362617,0.623131041798412,0.915158371040724,0.778183916891112,0.841131212310252,0.523553719008264,0.771619975639464,0.62383062530773,0.700998796002889,0.918821677535417,0.814593301435407,0.863573919475853,0.61136648558295,0.802083333333333,0.693858193028219
6,Random Forest,0.36,0.67528486222049,0.91507024265645,0.827048864948057,0.868835893290218,0.580298786181139,0.75700365408039,0.656976744186047,0.750275839366844,0.924648506151142,0.839114832535885,0.879807692307692,0.64729020979021,0.811951754385965,0.720330739299611
6,MLP,0.28575587272644,0.642847351103478,0.911579892280072,0.781454405540593,0.841516469857054,0.523489932885906,0.760048721071864,0.619970193740686,0.716278457444287,0.923587279798673,0.804824561403509,0.86012570576329,0.603483191575537,0.816885964912281,0.694153272769625
6,Gradient Boosting,0.62651556209968,0.671041944817675,0.929735935706085,0.778953443632166,0.847691824557731,0.537625754527163,0.813641900121803,0.647443663678217,0.73820929710495,0.920017578554164,0.834728867623604,0.875300512177276,0.637833114897335,0.800438596491228,0.709944079747143
7,Logistic Regression,0.60254352913871,0.64927228686376,0.90984602917342,0.846081386586285,0.87680593518157,0.570903361344538,0.709530026109661,0.632712456344587,0.719686918823569,0.90515294600698,0.863324848247503,0.883744237322109,0.645505332656171,0.733410271206001,0.68665586169638
7,Random Forest,0.35,0.71801796837278,0.925614754098361,0.850979653353429,0.886729485669415,0.596428571428571,0.763054830287206,0.669530355097365,0.758556247708273,0.919665271966527,0.860779322498531,0.889248508142005,0.654854368932039,0.778418926716676,0.711310308462958
7,MLP,0.216449782252312,0.646601115558767,0.939856581077955,0.765448379804069,0.843733776347212,0.505363528009535,0.830287206266319,0.62830328476167,0.715013700086309,0.918727155450441,0.836694732719796,0.875794220127075,0.619004111466423,0.781881130986728,0.690973992860785
7,Gradient Boosting,0.610303661112271,0.68871412502664,0.934433347807208,0.81085154483798,0.868267097034497,0.550581915846016,0.802872062663185,0.653212958045672,0.756193827825735,0.919898819561551,0.8545134129626,0.886001421175515,0.645515267175573,0.780727062896711,0.706711935231131
